what,kind,bundleId,bundleVersion,description,time
os,sysinfo,,,"win32",1319030094150
arch,sysinfo,,,"x86_64",1319030094150
ws,sysinfo,,,"win32",1319030094150
locale,sysinfo,,,"en_US",1319030094150
processors,sysinfo,,,"4",1319030094150
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1319030094150
java.runtime.version,sysinfo,,,"1.7.0-b147",1319030094150
java.specification.name,sysinfo,,,"Java Platform API Specification",1319030094150
java.specification.vendor,sysinfo,,,"Oracle Corporation",1319030094150
java.specification.version,sysinfo,,,"1.7",1319030094150
java.vendor,sysinfo,,,"Oracle Corporation",1319030094150
java.version,sysinfo,,,"1.7.0",1319030094150
java.vm.info,sysinfo,,,"mixed mode",1319030094150
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1319030094150
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1319030094150
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1319030094150
java.vm.specification.version,sysinfo,,,"1.7",1319030094150
java.vm.vendor,sysinfo,,,"Oracle Corporation",1319030094150
java.vm.version,sysinfo,,,"21.0-b17",1319030094150
activated,view,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.PackageExplorer",1319030095185
started,bundle,org.eclipse.compare,3.5.100.I20100526-0800,"org.eclipse.compare",1319030095558
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.refresh",1319030097021
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1319030100239
started,bundle,org.eclipse.debug.ui,3.6.0.v20100601-1530,"org.eclipse.debug.ui",1319030104816
started,bundle,org.eclipse.jdt.debug,3.6.0.v20100526,"org.eclipse.jdt.debug",1319030104908
started,bundle,org.eclipse.jdt.debug.ui,3.5.0.v20100602-0830,"org.eclipse.jdt.debug.ui",1319030104970
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1319030107751
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1319030116845
activated,view,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.PackageExplorer",1319030116883
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1319030132206
started,bundle,org.eclipse.jdt.junit,3.6.0.v20100526-0800,"org.eclipse.jdt.junit",1319030140014
started,bundle,org.eclipse.mylyn.java.tasks,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.java.tasks",1319030141321
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1319030141599
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1319030146980
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1319030149150
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1319030152195
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1319030245564
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1319030253559
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1319030263886
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1319030269883
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1319030271234
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1319030353556
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1319030359075
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1319030368600
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1319030368641
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1319030372840
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1319030377081
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1319030378987
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1319030379748
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1319030834596
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1319030835508
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1319031627825
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1319031629029
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1319031629892
closed,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1319031630046
stopped,bundle,org.eclipse.mylyn.ide.ant,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.ide.ant",1319031630304
